#    WDM      SN1      SN2      AGN
0.064895 1.008202 0.674483 0.314740
0.469749 0.824793 1.455380 1.295359
0.343330 3.826109 0.798417 0.952282
0.191186 0.314092 1.217922 3.742622
0.239441 2.005988 1.888808 2.661029
0.424219 0.414536 0.520432 0.655322
0.550515 1.902513 1.115998 1.763622
0.113018 0.631665 0.870116 0.452438
0.131344 2.855736 1.037709 0.575914
0.511926 0.291187 0.941523 2.369836
0.377108 1.351014 1.756194 0.366006
0.266034 0.889520 0.563129 1.438690
0.217903 1.420247 0.726464 1.022745
0.296334 0.585504 1.346664 0.251913
0.431028 2.686701 0.613712 3.227062
0.083081 0.447294 1.609326 0.827736
0.072321 2.380478 0.980520 1.934664
0.444474 0.494020 1.080691 0.490807
0.318053 1.596382 0.586479 2.452172
0.198615 0.532305 1.829013 0.597588
0.281034 1.196664 1.402510 0.877544
0.367837 0.982727 0.756591 3.412879
0.494127 3.211148 1.675994 0.345266
0.154617 0.264631 0.639135 1.405204
0.123980 1.685660 1.523956 2.973780
0.537138 0.697648 0.706264 0.754812
0.402319 2.254779 1.275255 1.121934
0.258672 0.376873 0.836002 0.273276
0.176368 3.389005 0.544934 0.401504
0.352658 0.347005 1.977733 1.560690
0.487346 1.133672 0.911120 0.530716
0.041552 0.749569 1.168589 2.161041
0.035591 3.902352 1.684824 1.330122
0.481195 0.307955 0.552307 0.327537
0.346632 1.073828 1.008125 3.528284
0.170026 0.774384 0.934314 0.905219
0.252458 1.940033 0.602660 0.629612
0.396422 0.619448 1.546089 2.591920
0.530861 2.136095 0.720022 0.476041
0.117892 0.389289 1.306454 1.870443
0.160640 1.377712 0.778547 2.045920
0.500471 0.872277 1.213925 0.504060
0.373797 3.041095 0.651686 1.613192
0.287187 0.273441 1.436619 0.413676
0.204894 2.740131 1.113989 0.287872
0.324139 0.438575 0.849579 1.184468
0.450689 1.512625 1.861710 0.732227
0.078216 0.549742 0.502186 2.878472
0.093504 1.634841 1.264279 0.438977
0.441130 0.519786 0.810841 1.706803
0.306566 2.545711 1.496147 0.690210
0.227942 0.461951 0.678690 2.809809
0.276201 3.287757 0.884778 3.867851
0.387468 0.258463 1.160143 0.981321
0.521901 1.279482 0.523014 1.226554
0.141641 0.919125 1.938924 0.298883
0.102788 2.308676 0.578316 0.802701
0.540474 0.368075 1.764164 3.120451
0.413798 1.802391 0.978353 0.265459
0.229337 0.652467 1.055644 1.080842
0.181209 1.160931 1.618956 1.487584
0.333035 0.731969 0.631063 0.377486
0.459580 3.624100 1.367969 2.242820
0.054537 0.324493 0.753925 0.546437
0.053278 2.114361 1.339166 3.213966
0.464408 0.401903 0.737988 0.783064
0.329704 1.957652 1.582591 1.066575
0.188110 0.600716 0.616940 0.270660
0.236748 1.063080 0.956458 0.372514
0.410977 0.799340 1.031931 1.516684
0.545813 3.935812 0.566091 0.562826
0.102039 0.298796 1.727019 2.187897
0.144939 1.492935 0.512305 1.746924
0.515032 0.569191 1.899384 0.425704
0.388759 2.772049 0.865563 2.759994
0.271341 0.424235 1.134851 0.700279
0.222571 3.003022 1.463530 0.963971
0.307346 0.282970 0.663951 3.924084
0.433752 1.393525 1.238497 0.305923
0.096293 0.843901 0.794239 1.189414
0.077467 1.268579 1.988808 0.513067
0.456028 0.947321 0.536424 2.016858
0.321318 3.321064 1.188331 0.404242
0.212304 0.250388 0.906352 1.663213
0.294087 2.522745 0.695235 1.157411
0.370466 0.476366 1.532490 0.296810
0.505300 1.651682 0.831627 2.929807
0.159381 0.503462 1.296799 0.721852
0.120681 3.582897 0.768592 0.331979
0.523482 0.335412 1.394700 1.304326
0.397203 1.175675 0.642497 0.878747
0.247088 0.707305 1.648150 3.617316
0.165165 1.781601 1.074674 2.515973
0.347923 0.674536 0.996074 0.645538
0.474326 2.339173 1.798628 1.895702
0.038890 0.355490 0.589564 0.466835
0.048931 1.840585 0.854627 0.745247
0.484557 0.638930 1.096224 3.034519
0.358029 2.075942 0.510497 0.281330
0.175587 0.409338 1.852597 1.093533
0.257381 3.700927 1.194566 1.606645
0.407180 0.317756 0.783172 0.391350
0.533840 1.043891 1.429586 2.133598
0.130849 0.814039 0.662473 0.541570
0.149278 2.606733 1.571144 0.481884
0.494876 0.451138 0.599101 1.961132
0.360427 1.466045 1.312880 0.611974
0.283855 0.579631 0.708299 2.379932
0.201945 1.310134 0.549045 3.494878
0.311152 0.897619 1.712127 0.851732
0.445733 2.948338 0.919102 1.379590
0.067492 0.288218 1.013084 0.350007
0.089950 3.101427 0.627337 2.313743
0.427729 0.268121 1.645192 0.593494
0.301195 1.237115 0.741650 1.465587
0.216612 0.971413 1.374698 0.361003
0.265253 1.542621 1.792753 0.256632
0.382479 0.539053 0.574901 1.008729
0.509137 2.460518 1.060836 0.808175
0.138723 0.488414 0.962424 3.325436
0.108189 1.098089 1.141641 1.258467
0.551774 0.757273 0.890035 0.322865
0.417318 3.494676 1.929433 3.789957
0.242772 0.343881 0.531670 0.933392
0.194007 2.184385 0.815659 0.663648
0.335919 0.380684 1.244117 2.608096
0.470498 1.737336 0.689923 0.439579
0.059556 0.691718 1.488823 1.809043
0.060014 3.068328 0.824234 0.364885
0.472963 0.276948 1.284808 1.418889
0.338512 1.363464 0.697219 0.574591
0.194593 0.862508 1.537416 2.338607
0.244259 1.525850 1.178913 3.290263
0.420813 0.556912 0.899454 0.834685
0.555396 2.713050 1.992543 1.041804
0.109804 0.433460 0.537262 0.253919
0.136153 1.086381 1.812977 0.943762
0.508511 0.782195 0.594054 3.668082
0.381981 3.851555 1.072692 0.312478
0.262811 0.305332 0.994596 1.272459
0.213030 2.160615 0.648309 1.789355
0.299556 0.393300 1.663585 0.454155
0.426219 1.915664 0.766365 2.694617
0.086495 0.613884 1.390216 0.656420
0.068906 1.820499 0.567340 1.129771
0.449282 0.660124 1.731451 0.278263
0.314829 2.288905 0.949831 3.001406
0.203487 0.363298 1.024412 0.769954
0.284258 3.661583 1.588700 0.524144
0.362965 0.328204 0.619126 2.157256
0.497542 1.150555 1.327694 0.395693
0.149808 0.722746 0.731899 1.554927
0.127196 2.578257 1.233643 2.458051
0.532258 0.466109 0.791410 0.605514
0.405726 1.616460 1.476253 1.940445
0.253856 0.514431 0.669482 0.497695
0.172961 1.296221 0.863667 0.338862
0.357474 0.927120 1.132006 1.394456
0.484130 3.249559 0.515863 0.860903
0.046433 0.255898 1.913183 3.383638
0.040408 1.338907 1.063495 1.645477
0.477789 0.878328 0.964530 0.417536
0.351514 2.885342 1.779801 2.083170
0.166811 0.294511 0.570928 0.507603
0.247577 2.663646 0.744295 0.729555
0.399637 0.441499 1.380099 2.836702
0.526044 1.434541 0.622146 0.287380
0.121298 0.592362 1.630994 1.169747
0.155767 3.781570 0.687478 3.577655
0.503694 0.310981 1.483076 0.907966
0.368988 1.021416 0.822437 1.347706
0.290601 0.831953 1.254855 0.328335
0.209703 1.881086 1.924467 0.471980
0.320725 0.625172 0.530492 1.834892
0.455563 2.031672 1.150011 0.624825
0.074993 0.418257 0.896237 2.543737
0.096728 2.232546 1.416333 0.261972
0.436258 0.372471 0.656539 1.078307
0.309981 1.700359 1.198433 0.791688
0.223133 0.706759 0.785458 3.110779
0.272786 1.121969 0.506642 2.260597
0.392277 0.741156 1.837946 0.556644
0.518677 3.419289 0.855907 1.500003
0.146513 0.351464 1.098262 0.384895
0.099382 1.576368 0.926163 0.678040
0.545291 0.527514 1.021192 2.789506
0.410582 2.407745 0.548195 0.430251
0.234217 0.499120 1.708933 1.691459
0.184425 3.169404 1.325152 1.228556
0.328155 0.262370 0.714663 0.302667
0.462987 1.210631 1.566125 3.882373
0.049720 0.992662 0.597401 0.995686
0.057131 1.451499 1.671770 2.720287
0.460166 0.572897 0.637754 0.697635
0.333494 2.629407 1.412748 1.725140
0.183675 0.457040 0.761839 0.424994
0.232958 2.917962 0.584382 0.308686
0.415411 0.284978 1.821898 1.213578
0.541960 1.321926 0.988723 0.970952
0.106282 0.909094 1.090078 3.994683
0.141142 2.049784 0.914340 1.046082
0.519458 0.405680 1.173141 0.268408
0.384898 1.861630 0.540453 3.155153
0.275575 0.645538 1.960765 0.776880
0.226432 1.030344 1.278518 0.564558
0.303112 0.807068 0.837875 2.218417
0.437549 3.744359 1.512897 0.373374
0.091867 0.320949 0.701361 1.536929
0.081894 3.463286 1.126464 0.895351
0.452232 0.339562 0.877960 3.645215
0.325554 1.109402 1.882672 0.338394
0.208444 0.765965 0.518927 1.315605
0.289852 1.722536 0.804508 1.891178
0.374326 0.682713 1.227603 0.460722
0.500873 2.206418 0.673459 2.508491
0.163178 0.385134 1.452710 0.636600
0.116437 1.222687 0.609046 0.409308
0.527335 0.961812 1.596518 1.666139
0.392768 3.141877 0.727577 0.520599
0.250876 0.270466 1.349212 2.024344
0.169600 2.432962 1.739970 2.909497
0.344135 0.483363 0.558104 0.708913
0.478570 1.562405 1.041015 1.146764
0.035038 0.543881 0.944222 0.290971
0.045142 2.800075 0.527717 0.617242
0.488991 0.429187 1.956980 2.426030
0.354175 1.480182 0.882243 0.485578
0.179830 0.561792 1.156451 1.998268
0.261235 1.407909 1.508133 1.360545
0.402937 0.853567 0.683881 0.348950
0.537629 2.975991 1.261883 3.449263
0.126415 0.279423 0.809596 0.849666
0.153139 1.982806 1.357168 0.282362
0.490641 0.606084 0.748210 1.109629
0.364224 2.090631 1.621909 0.746528
0.279429 0.397754 0.632014 3.072691
0.198148 3.987215 0.969603 2.091724
0.315578 0.301401 1.045826 0.536566
0.441872 1.050663 0.579984 1.577908
0.071727 0.791458 1.769888 0.388620
0.085714 1.186228 0.718421 3.783802
0.431589 0.716361 1.303135 0.921718
0.296768 3.546071 0.606877 1.253767
0.220409 0.331634 1.557402 0.318205
0.269680 2.359477 1.004225 0.447467
0.378682 0.360149 0.931035 1.822220
0.513372 1.763955 1.699414 0.677104
0.134863 0.666684 0.556890 2.631770
0.112624 3.359960 1.868998 1.454070
0.547985 0.252908 0.503992 0.354381
0.421562 1.252144 1.104412 2.294599
0.238920 0.939191 0.842543 0.582066
0.189764 1.670535 0.653104 0.818929
0.339771 0.508681 1.440261 3.333269
0.466063 2.491005 0.773194 0.260200
0.063345 0.472097 1.205144 1.011871
0.062528 2.509061 1.951397 0.842479
0.467525 0.469020 0.526379 3.457623
0.340867 1.678062 1.153515 0.346263
0.189059 0.506738 0.879724 1.364654
0.237824 1.247348 0.682158 1.982711
0.422267 0.943435 1.503790 0.487086
0.548802 3.338104 0.807263 2.405715
0.111162 0.254739 1.258699 0.618685
0.133775 1.771610 0.750124 0.387156
0.514085 0.664251 1.361073 1.589216
0.379507 2.376173 0.633834 0.535675
0.268226 0.357862 1.626064 2.110811
0.219584 3.523585 1.048851 3.067326
0.298222 0.333977 0.972058 0.753405
0.432677 1.181886 1.774375 1.105544
0.085001 0.719476 0.581664 0.284361
0.070400 1.046865 1.299806 2.636363
0.442824 0.794869 0.716358 0.670922
0.316164 3.962090 1.552934 1.828961
0.196932 0.303517 0.605328 0.444322
0.278843 2.105330 0.928346 0.319410
0.365440 0.395244 1.001686 1.244848
0.491968 1.991332 0.555484 0.923247
0.152187 0.603900 1.694512 3.749578
0.125837 2.956733 0.505435 1.019813
0.538852 0.281431 1.873756 0.259396
0.404272 1.402587 0.844686 3.361409
0.260290 0.857394 1.107572 0.817016
0.178495 1.486800 1.443904 0.587031
0.355120 0.559673 0.654992 2.289042
0.489569 2.820228 1.208625 0.357132
0.043919 0.426405 0.775148 1.449697
0.033687 1.569144 0.635911 3.966592
0.479530 0.541916 1.667539 0.974542
0.344697 2.450035 0.759909 1.202503
0.168393 0.480316 1.408662 0.309225
0.250314 3.122036 1.817257 0.421151
0.393975 0.272366 0.582709 1.728010
0.528685 1.218283 1.086954 0.692671
0.115477 0.965949 0.986202 2.730574
0.162608 2.222281 1.176099 1.533341
0.502072 0.382643 0.916975 0.376528
0.375669 1.730251 1.966422 2.211552
0.288884 0.680130 0.541817 0.568987
0.207101 1.105217 0.840276 0.774541
0.326522 0.769389 1.281776 3.179638
0.452802 3.440849 0.703150 0.267759
0.080695 0.342007 1.517237 1.055005
0.091027 3.719952 0.875749 0.638522
0.439019 0.323275 1.123224 2.489167
0.304183 1.026411 0.517436 0.461839
0.225735 0.810707 1.877936 1.875188
0.274503 1.870043 1.224091 1.318685
0.385595 0.643066 0.802461 0.335561
0.520299 2.064614 1.449017 3.656524
0.139672 0.403039 0.671534 0.888379
0.105203 1.317098 1.601149 0.293628
0.542649 0.913036 0.610593 1.144862
0.416244 2.899437 1.352636 0.713991
0.231480 0.286995 0.729685 2.898532
0.182843 2.647992 0.559530 2.038674
0.334972 0.454144 1.744972 0.518681
0.461245 1.457809 0.946933 1.681489
0.056442 0.570800 1.043673 0.408595
0.051581 1.202804 0.967300 1.171792
0.462536 0.999802 1.066211 0.284757
0.328103 3.157407 0.572387 2.847187
0.186142 0.263545 1.784917 0.724426
0.234269 2.418497 1.383601 0.509523
0.408865 0.497235 0.746452 2.068346
0.543430 1.587722 1.635725 0.418230
0.099832 0.524097 0.623726 1.630599
0.146573 3.406909 1.479307 2.563694
0.516968 0.352976 0.685513 0.622891
0.390424 1.114905 1.251265 1.850388
0.273244 0.746362 0.820345 0.470879
0.224986 1.712323 0.528968 0.331136
0.309522 0.702303 1.919626 1.344446
0.436198 2.242134 0.893980 0.915011
0.098437 0.371127 1.146703 3.566886
0.075324 2.040500 0.658214 0.381640
0.453582 0.416734 1.420396 1.503643
0.319143 1.894387 0.787709 0.552356
0.209891 0.621199 1.201487 2.267417
0.292182 1.014934 1.843248 3.086551
0.368800 0.837825 0.507921 0.794145
0.503363 3.767748 1.101031 1.069281
0.157747 0.312335 0.858374 0.262585
0.122887 1.444931 1.018265 0.991931
0.525864 0.588498 0.923802 3.910184
0.399314 2.675662 1.704580 0.302165
0.249565 0.439815 0.546625 1.239770
