#     Om       s8      SN1      SN2      AGN      WDM
0.497445 0.713443 3.027207 1.535386 0.336168 0.222596
0.218136 0.851420 1.729322 1.013784 2.944956 0.525671
0.158106 0.653752 3.092563 1.861845 3.651712 0.423228
0.326503 0.915751 0.651421 0.590472 1.570254 0.110525
0.395840 0.617315 1.388965 0.828156 2.059739 0.265557
0.113381 0.955315 2.427748 1.807247 3.202768 0.453085
0.259737 0.752984 0.987603 1.067581 2.452052 0.310954
0.431232 0.815008 3.695171 1.295528 0.781665 0.129204
0.414437 0.689474 0.838047 1.672069 2.716673 0.072062
0.295285 0.926863 3.784790 0.775834 0.637961 0.384765
0.128613 0.730855 1.535318 1.348674 1.271550 0.517990
0.361854 0.893442 2.342252 1.201935 3.877592 0.214916
0.315957 0.791876 3.420654 0.879339 3.385604 0.183132
0.199904 0.829292 0.266080 1.482331 1.716132 0.364883
0.227119 0.625301 2.709643 0.642886 1.126531 0.476233
0.457209 0.987909 2.103217 1.996931 2.268644 0.288705
0.473979 0.641308 3.951004 1.137958 1.514886 0.340788
0.241593 0.978308 0.803753 1.320219 3.593583 0.160963
0.181579 0.775903 2.172488 0.806143 2.996676 0.295422
0.303051 0.838878 1.573386 1.737168 0.390620 0.484876
0.369260 0.740440 0.439533 1.837886 0.838907 0.391467
0.139976 0.877463 3.378952 0.519364 2.508364 0.080690
0.286321 0.679868 1.940637 1.604732 3.149203 0.190806
0.404644 0.942869 2.740247 1.036530 2.007075 0.495806
0.437846 0.768300 1.789249 0.619293 3.939383 0.446368
0.271866 0.805884 2.835356 1.925456 1.330580 0.256914
0.105212 0.602014 0.580391 0.948319 0.572522 0.153298
0.385278 0.964405 3.295284 1.505443 2.653966 0.333123
0.342502 0.662844 2.495088 1.419416 2.208670 0.549780
0.173375 0.900455 1.189878 1.226260 1.065627 0.244780
0.200579 0.704324 3.631610 1.649690 1.779783 0.103822
0.483746 0.866737 1.183143 0.706122 3.450155 0.414600
0.479393 0.660607 1.444769 1.042261 0.730575 0.326087
0.210996 0.923022 2.256502 1.599013 2.400948 0.146270
0.165057 0.719079 0.924417 0.525381 3.254214 0.248683
0.344365 0.856688 3.873684 1.831904 2.111171 0.438129
0.377762 0.758250 2.619840 1.743614 1.636349 0.406345
0.106266 0.820640 2.017756 0.799685 3.717793 0.095575
