#Om      s8       SN1      SN2      BHFF
0.280526 0.801614 0.911521 0.618782 0.564666
0.280408 0.858076 3.370519 0.558723 0.904624
0.315953 0.821230 0.796050 1.660531 1.086337
0.342198 0.879162 1.885654 0.910584 3.069830
0.296664 0.801792 0.354756 1.239049 0.319258
0.309393 0.865792 0.599006 1.093805 0.378969
0.345246 0.788423 2.239212 0.812529 2.578274
0.333991 0.844654 0.331514 1.782481 1.821151
0.288148 0.807808 1.008783 0.606337 0.535072
0.293414 0.883898 0.283707 0.728723 1.277023
0.327947 0.799798 1.207749 1.070953 0.767456
0.349202 0.849339 0.505731 0.706120 0.271583
0.304659 0.832709 2.702727 1.900794 3.618465
0.302706 0.835706 1.596611 1.425768 2.140280
0.336933 0.819076 0.429423 0.523992 0.455284
0.320688 0.870318 2.877145 1.381653 0.644564
0.276451 0.786218 0.950641 0.929932 1.515875
0.277285 0.872486 1.320236 1.740121 0.347313
0.321574 0.781505 0.259379 0.646404 3.336494
0.335319 0.837862 2.457625 1.166725 1.181701
0.301039 0.814403 0.555835 0.793858 0.983284
0.308767 0.851494 0.464601 0.851293 0.585352
0.353374 0.828036 1.476357 1.264870 1.991097
0.324619 0.886067 0.874293 0.570825 2.820309
0.290022 0.795085 3.129736 1.553261 0.414371
0.284035 0.842618 0.724414 1.348933 3.933169
0.329824 0.812389 3.707287 0.991298 0.295426
0.348579 0.863716 0.388094 1.521205 0.834125
0.312780 0.793017 1.725283 0.511822 1.389261
0.295835 0.877086 2.058146 0.660086 1.657486
0.341306 0.806386 0.651205 1.940568 0.705082
0.317561 0.856039 1.090769 0.744317 0.497778
0.282080 0.825811 0.306362 1.002024 2.341414
0.283343 0.880284 0.529075 1.580305 0.502355
0.318799 0.802410 2.827489 0.587088 1.708531
0.340054 0.860856 0.296006 1.287763 2.413927
0.294588 0.823459 1.260112 0.876139 0.354595
0.311547 0.847487 3.006980 0.773436 0.299642
0.347312 0.810091 0.993543 1.149090 2.878955
0.331067 0.866862 1.664114 0.630202 1.016725
0.285292 0.788988 0.447580 1.714980 0.846172
0.291338 0.848718 1.970870 1.030572 1.418393
0.325803 0.831590 0.370789 0.757277 0.603484
0.352048 0.881672 3.513389 1.997205 0.427133
0.307593 0.797015 0.829795 0.672033 2.009434
0.299850 0.868039 0.346853 0.504085 3.384696
